Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,tagline_compound,tagline_neutral,tagline_negative,tagline_positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,overview,overview_positive,overview_negative,overview_neutral,overview_compound,overview_processes,Personal Growth Drama,Group Conflict,Mission-Driven Thriller,Small-Town Heroism
#Alive,2020,63.0,62,1,0,0,0,6300000.0,13416285.0,98.0,You must survive.,2.1295690476190474,136900.8673469388,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Unknown,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",0.092,0.223,0.685,-0.4215,as a grisly virus rampages a city a lone man stays locked inside his apartment digitally cut off from seeking help and desperate to find a way out,0.015336367301642895,0.015285750851035118,0.9541186690330505,0.015259173698723316
(500) Days of Summer,2009,21.0,83,0,1,0,0,7500000.0,60781545.0,95.0,This is not a love story. This is a story about love.,8.104206,639805.7368421053,-0.7741,0.543,0.457,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",0.22,0.097,0.683,0.802,tom greeting-card writer and hopeless romantic is caught completely off-guard when his girlfriend summer suddenly dumps him he reflects on their 500 days together to try to figure out where their love affair went sour and in doing so tom rediscovers his true passions in life,0.9710252285003662,0.0,0.0,0.0
...And God Created Woman,1956,0.0,60,0,0,1,0,300000.0,33000000.0,92.0,...but the devil invented Brigitte Bardot!,110.0,358695.652173913,-0.69,0.516,0.484,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp.",0.177,0.051,0.772,0.6416,juliette hardy is sexual dynamite and has the men of a french coastal town panting but antoine the only man who affects her likewise wouldn't dream of settling down with a woman his friends consider the town tramp,0.01302781980484724,0.9609628319740295,0.012833180837333202,0.013176079839468002
10 Items or Less,2006,9.0,63,0,0,1,0,400.0,1.0,81.0,Sometimes in life you have to change lanes.,0.0025,0.0123456790123456,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,"An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded, without a car or cell phone, and accepts a ride home with Scarlet, a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.",0.147,0.0,0.853,0.8807,an actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of los angeles to do some field research he subsequently becomes stranded without a car or cell phone and accepts a ride home with scarlet a cashier who is about to interview for a new job the actor rediscovers the essence of his craft while helping scarlet gain the confidence she needs to change her life,0.3172856569290161,0.0,0.669041097164154,0.0
102 Dalmatians,2000,12.0,60,0,0,0,1,85000000.0,183611771.0,100.0,Meet Two Unlikely Heroes With A Bone To Pick.,2.160138482352941,1836117.71,0.5106,0.68,0.0,0.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",0.254,0.04,0.706,0.9438,get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail in an unlikely alliance the outrageous waddlesworth - a parrot who thinks he's a rottweiler - teams up with oddball - an un-marked dalmatian puppy eager to earn her spots together they embark on a laugh-packed quest to outwit the ever-scheming cruella de vil,0.0,0.9805001616477966,0.0,0.0
12 Years a Slave,2013,37.0,85,0,1,0,0,20000000.0,187000000.0,134.0,The extraordinary true story of Solomon Northup.,9.35,1395522.3880597015,0.4215,0.682,0.0,0.318,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,R,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",0.21,0.157,0.633,0.4404,in the pre-civil war united states solomon northup a free black man from upstate new york is abducted and sold into slavery facing cruelty as well as unexpected kindnesses solomon struggles not only to stay alive but to retain his dignity in the twelfth year of his unforgettable odyssey solomon’s chance meeting with a canadian abolitionist will forever alter his life,0.9784647822380066,0.0,0.0,0.0
127 Hours,2010,26.0,81,0,1,0,0,18000000.0,35700000.0,94.0,Every second counts.,1.9833333333333327,379787.2340425532,0.0,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,R,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,0.3,0.121,0.579,0.7964,the true story of mountain climber aron ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in utah,0.01426656823605299,0.014280923642218113,0.9573169946670532,0.014135461300611496
13 Assassins,2010,26.0,74,0,1,0,0,6000000.0,17555141.0,141.0,Take up your sword.,2.925856833333333,124504.54609929078,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,0.027,0.044,0.929,-0.1779,a bravado period action film set at the end of japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future,0.9677063822746277,0.010884563438594341,0.010610941797494888,0.010798110626637936
1492: Conquest of Paradise,1992,4.0,64,0,0,1,0,47000000.0,7191399.0,154.0,"Centuries before the exploration of space, there was another voyage into the unknown.",0.1530084893617021,46697.396103896106,0.2263,0.863,0.0,0.137,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,0.189,0.0,0.811,0.6369,1492: conquest of paradise depicts christopher columbus’ discovery of the new world and his effect on the indigenous people,0.9230197668075562,0.025450147688388824,0.025762805715203285,0.025767283514142036
1922,2017,3.0,84,1,0,0,0,5000000.0,2943477.0,102.0,Your darkest secrets never stay buried.,0.5886954,28857.617647058825,-0.4939,0.61,0.39,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,R,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",0.33,0.168,0.502,0.5423,a simple yet proud rancher conspires to murder his wife for financial gain convincing his teenage son to participate,0.018674124032258987,0.018827416002750397,0.9437707662582397,0.018727710470557213
2 States,2014,52.0,70,1,0,0,0,4587786.0,22414611.0,149.0,One love.,4.8857141549322485,150433.63087248322,0.6369,0.192,0.0,0.808,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle.",0.06,0.096,0.843,-0.296,a man and a woman come from two very different cultural backgrounds and decide that they won't get married until they convince their parents as feared differences between the families pose a hurdle,0.015278978273272514,0.015440336428582668,0.01544838584959507,0.9538322687149048
"20,000 Leagues Under the Sea",1954,0.0,69,0,0,0,1,5000000.0,28200000.0,127.0,The mightiest motion picture of them all!,5.64,222047.24409448807,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,G,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",0.105,0.0,0.895,0.25,a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine the nautilus commanded by captain nemo,0.9436789751052856,0.018799278885126114,0.01870296150445938,0.018818767741322517
2012,2009,21.0,75,1,1,0,0,200000000.0,791217826.0,158.0,We Were Warned.,3.95608913,5007707.75949367,-0.2732,0.488,0.512,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",0.068,0.122,0.809,-0.7506,"dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earth's core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the world's leaders race to build ""arks"" to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world",0.0,0.0,0.9878343939781189,0.0
28 Days Later,2002,33.0,83,0,1,0,0,8000000.0,85032676.0,113.0,The days are numbered.,10.6290845,752501.5575221239,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,R,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",0.042,0.272,0.685,-0.9201,twenty-eight days after a killer virus was accidentally unleashed from a british research facility a small group of london survivors are caught in a desperate struggle to protect themselves from the infected carried by animals and humans the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain,0.0,0.0,0.9745908975601196,0.0
28 Weeks Later,2007,33.0,78,0,1,0,0,15000000.0,72304846.0,100.0,When days turn to weeks...,4.820323066666667,723048.46,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,R,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",0.067,0.175,0.757,-0.7506,twenty-eight weeks after the spread of a deadly rage virus the inhabitants of the british isles have lost their battle against the onslaught as the virus has killed everyone there six months later a group of americans dare to set foot on the isles convinced the danger has passed but it soon becomes all too clear that the scourge continues to live waiting to pounce on its next victims,0.0,0.9795570969581604,0.0,0.0
3 Days to Kill,2014,24.0,69,1,0,0,0,28000000.0,53260230.0,113.0,The question is... kill or die?,1.902151071428572,471329.4690265487,-0.8625,0.317,0.683,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,PG-13,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",0.022,0.137,0.84,-0.8679,a dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter but first he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years while his wife is out of town,0.0,0.2031998485326767,0.7830616235733032,0.0
3 Generations,2016,15.0,59,1,0,0,0,10000000.0,680351.0,87.0,A Family In Transition,0.0680351,7820.126436781609,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,"A teenager transitions from female to male, and his family must come to terms with that fact.",0.0,0.0,1.0,0.0,a teenager transitions from female to male and his family must come to terms with that fact,0.9118287563323975,0.029047368094325066,0.02954975515604019,0.029574107378721237
3 Idiots,2009,2.0,86,1,0,0,0,9000000.0,70000000.0,171.0,Aal Izz Well!,7.777777777777778,409356.7251461988,0.3382,0.455,0.0,0.545,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",0.092,0.109,0.8,-0.3514,"rascal joker dreamer genius you've never met a college student quite like ""rancho"" from the moment he arrives at india's most prestigious university rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends together they make life miserable for ""virus"" the school’s uptight and heartless dean but when rancho catches the eye of the dean's daughter virus sets his sights on flunking out the ""3 idiots"" once and for all",0.9834731221199036,0.0,0.0,0.0
3 Men and a Baby,1987,5.0,66,0,0,0,1,11000000.0,242780960.0,102.0,They changed her diapers. She changed their lives.,22.070996363636365,2380205.4901960786,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.,0.151,0.142,0.708,0.0516,three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends,0.024112747982144356,0.9278218746185303,0.02398926578462124,0.024076052010059357
30 Minutes or Less,2011,114.0,69,0,0,1,0,28000000.0,40500000.0,83.0,A lot can happen in 30 minutes.,1.4464285714285714,487951.8072289157,0.0,1.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",0.0,0.323,0.677,-0.8885,two fledgling criminals kidnap a pizza delivery guy strap a bomb to his chest and advise him that he has mere hours to rob a bank or else,0.9541609883308411,0.015263987705111504,0.015366310253739357,0.015208865515887737
31,2016,48.0,64,0,1,1,0,1500000.0,850419.0,102.0,Welcome to hell.,0.566946,8337.441176470587,-0.3818,0.116,0.535,0.349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,R,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",0.0,0.231,0.769,-0.872,five carnival workers are kidnapped and held hostage in an abandoned hell-like compound where they are forced to participate in a violent game the goal of which is to survive twelve hours against a gang of sadistic clowns,0.011996285058557987,0.012077062390744686,0.012123893946409225,0.9638027548789978
47 Meters Down,2017,3.0,69,0,1,0,0,5500000.0,62198461.0,89.0,No way out. No way up. No chance in hell.,11.30881109090909,698859.1123595505,-0.8481,0.275,0.615,0.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,PG-13,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",0.081,0.109,0.81,-0.1027,two sisters on mexican vacation are trapped in a shark observation cage at the bottom of the ocean with oxygen running low and great whites circling nearby they have less than an hour of air left to figure out how to get to the surface,0.9686115980148315,0.010294950567185879,0.010517040267586708,0.010576349683105946
47 Meters Down: Uncaged,2019,3.0,63,0,0,1,0,12000000.0,47582563.0,90.0,Fear runs deep.,3.9652135833333335,528695.1444444444,-0.4939,0.385,0.615,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,PG-13,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",0.168,0.161,0.671,-0.1027,four teenage girls go on a diving adventure to explore a submerged mayan city once inside their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks with their air supply steadily dwindling the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell,0.0,0.0,0.0,0.9816625714302063
5 Flights Up,2014,6.0,60,1,0,0,0,6000000.0,1020921.0,92.0,A coming of age story,0.1701535,11096.967391304348,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,0.043,0.0,0.957,0.0516,a long-time married couple who've spent their lives together in the same new york apartment become overwhelmed by personal and real estate-related issues when they plan to move away,0.01344968006014824,0.9594578742980957,0.01348100882023573,0.013611413538455963
50/50,2011,125.0,82,0,1,1,0,8000000.0,39187783.0,100.0,It takes a pair to beat the odds.,4.898472875,391877.83,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",0.256,0.202,0.542,0.2023,inspired by a true story a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease,0.01640704646706581,0.016477007418870926,0.9509322643280029,0.016183650121092796
7 Khoon Maaf,2011,4.0,53,1,0,0,0,2200000.0,2900000.0,148.0,A Story Of A Woman Who Kills All Seven Husbands,1.318181818181818,19594.5945945946,-0.5423,0.667,0.333,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Unknown,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.",0.195,0.083,0.722,0.6486,susanna is hungry for love and will go to any extent to find it in its purest form in her quest for the perfect man she gets married a number of times as each of her husband's die mysteriously,0.014885269105434418,0.014574836008250713,0.9560480117797852,0.014491823501884937
9th Company,2005,0.0,64,0,0,1,0,9500000.0,24000000.0,139.0,They stood together while their country fell apart,2.526315789473684,172661.87050359714,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,R,"Russian army recruits complete training and take their posting in late 1980s Afghanistan, where the insurgents are slowly gaining the upper hand.",0.231,0.0,0.769,0.7184,russian army recruits complete training and take their posting in late 1980s afghanistan where the insurgents are slowly gaining the upper hand,0.01731947995722294,0.01733594760298729,0.01732589490711689,0.9480186700820923
A Bug's Life,1998,30.0,79,0,0,0,1,80000000.0,363258859.0,95.0,An epic of miniature proportions.,4.5407357375,3823777.463157895,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",0.0,0.157,0.843,-0.6597,"on behalf of ""oppressed bugs everywhere"" an inventive ant named flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded hopper",0.011178539134562016,0.011033538728952408,0.9667262434959412,0.011061713099479675
A Clockwork Orange,1971,0.0,86,1,0,0,0,2200000.0,27033812.0,137.0,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",12.288096363636363,197327.09489051093,-0.3182,0.547,0.234,0.219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,R,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",0.09,0.174,0.736,-0.8472,in a near-future britain young alexander delarge and his pals get their kicks beating and raping anyone they please when not destroying the lives of others alex swoons to the music of beethoven the state eager to crack down on juvenile crime gives an incarcerated alex the option to undergo an invasive procedure that'll rob him of all personal agency in a time when conscience is a commodity can alex change his tune,0.0,0.0,0.9807844161987305,0.0
A Field in England,2013,8.0,64,0,1,0,0,300000.0,600000.0,90.0,Open Up And Let The Devil In,2.0,6666.666666666667,-0.6597,0.577,0.423,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Unknown,"During the Civil War in 17th-Century England, a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist, who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle, which provides their first meal, the group quickly descend into a chaos of arguments, fighting and paranoia, and, as it becomes clear that the treasure might be something other than gold, they slowly become victim to the terrifying energies trapped inside the field.",0.075,0.254,0.67,-0.9686,during the civil war in 17th-century england a small group of deserters flee from a raging battle through an overgrown field they are captured by an alchemist who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field crossing a vast mushroom circle which provides their first meal the group quickly descend into a chaos of arguments fighting and paranoia and as it becomes clear that the treasure might be something other than gold they slowly become victim to the terrifying energies trapped inside the field,0.0,0.0,0.9852601885795593,0.0
A Ghost Story,2017,45.0,74,1,0,0,0,100000.0,1929659.0,93.0,It's all about time.,19.29659,20749.021505376342,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,R,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",0.072,0.135,0.793,-0.3182,recently deceased a white-sheeted ghost returns to his suburban home to console his bereft wife only to find that in his spectral state he has become unstuck in time forced to watch passively as the life he knew and the woman he loves slowly slip away,0.0,0.0,0.0,0.971078634262085
A Goofy Movie,1995,14.0,71,0,0,0,1,18000000.0,35348597.0,78.0,It's hard to be cool when your Dad is Goofy.,1.9638109444444445,453187.141025641,0.2263,0.684,0.12,0.197,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,G,"An endearing modern-day story about how the lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure!",0.167,0.0,0.833,0.7901,an endearing modern-day story about how the lovable goof bonds with his teenage son max on a hilarious cross-country road trip en route to the ol' fishing hole they find themselves up to their floppy ears in misadventure,0.010528446175158024,0.9686705470085144,0.0103839710354805,0.010417038574814796
A Haunted House 2,2014,8.0,61,1,0,0,0,4000000.0,25343661.0,87.0,It'll scare the #2 out of you.,6.33591525,291306.4482758621,-0.4939,0.652,0.348,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,"After exorcising the demons of his ex, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",0.057,0.065,0.878,-0.0772,after exorcising the demons of his ex malcolm starts afresh with his new girlfriend and her two children after moving into their dream home malcolm is once again plagued by bizarre paranormal events,0.9565050601959229,0.014562907628715038,0.014426532201468945,0.014505602419376373
A Hologram for the King,2016,8.0,67,0,1,0,0,30000000.0,9169507.0,97.0,How far will you go? To find yourself.,0.3056502333333333,94531.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",0.066,0.17,0.763,-0.4767,alan clay a struggling american businessman travels to saudi arabia to sell a new technology to the king only to be challenged by endless middle eastern bureaucracy a perpetually absent monarch and a suspicious growth on his back,0.011376580223441124,0.9655814170837402,0.011654239147901535,0.01138776820152998
A Mighty Heart,2007,,65,0,0,1,0,16000000.0,18928871.0,108.0,One woman dared to keep hope alive.,1.1830544375,175267.32407407407,0.6705,0.476,0.0,0.524,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,R,"Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",0.0,0.266,0.734,-0.8225,based on mariane pearl's account of the terrifying and unforgettable story of her husband wall street journal reporter danny pearl's life and death,0.01723308488726616,0.016259636729955673,0.9434402585029602,0.023066991940140724
A Monster Calls,2016,117.0,76,1,0,0,0,43000000.0,47309313.0,108.0,Stories are wild creatures.,1.1002165813953488,438049.1944444445,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PG-13,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,0.092,0.231,0.678,-0.6249,12-year-old conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school,0.01633557677268982,0.9511407017707825,0.016188528388738632,0.01633518561720848
A Most Wanted Man,2014,211.0,72,0,1,0,0,15000000.0,31554855.0,121.0,"When national security is the mission, intelligence is the key.",2.103657,260783.9256198347,0.6705,0.593,0.0,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,A Chechen Muslim illegally immigrates to Hamburg and becomes a person of interest for a covert government team tracking the movements of potential terrorists.,0.115,0.157,0.728,-0.2732,a chechen muslim illegally immigrates to hamburg and becomes a person of interest for a covert government team tracking the movements of potential terrorists,0.016051147133111954,0.01632784865796566,0.9515295624732971,0.016091445460915565
A Nice Girl Like You,2020,30.0,56,0,1,0,0,6100000.0,769234.0,94.0,Naughty can be nice,0.1261039344262295,8183.340425531915,0.4215,0.517,0.0,0.483,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.",0.205,0.122,0.673,0.6808,lucy neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend in an effort to prove him wrong lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery friendship and new love,0.01076259184628725,0.010500641539692879,0.9683395028114319,0.010397289879620075
A Perfect Getaway,2009,8.0,70,0,1,0,0,14000000.0,22852638.0,98.0,Welcome to paradise. Enter at your own risk.,1.6323312857142858,233190.1836734693,0.7269,0.35,0.147,0.503,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,R,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.",0.115,0.187,0.698,-0.899,for their honeymoon newlyweds cliff and cydney head to the tropical islands of hawaii while journeying through the paradisaical countryside the couple encounters kale and cleo two disgruntled hitchhikers and nick and gina two wild but well-meaning spirits who help guide them through the lush jungles the picturesque waterfalls and scenic mountainsides quickly give way to terror when cliff and cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers,0.0,0.0,0.6268535852432251,0.36307206749916077
