Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,tagline_compound,tagline_neutral,tagline_negative,tagline_positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,overview,overview_positive,overview_negative,overview_neutral,overview_compound,overview_processes,Personal Growth Drama,Group Conflict,Mission-Driven Thriller,Small-Town Heroism
The Queen,2006,63.0,73,1,0,0,0,15000000.0,123384128.0,103.0,Our Leaders. Ourselves.,8.225608533333334,1197904.155339806,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,"The Queen is an intimate behind the scenes glimpse at the interaction between HM Elizabeth II and Prime Minister Tony Blair during their struggle, following the death of Diana, to reach a compromise between what was a private tragedy for the Royal family and the public's demand for an overt display of mourning.",0.018,0.245,0.736,-0.9313,the queen is an intimate behind the scenes glimpse at the interaction between hm elizabeth ii and prime minister tony blair during their struggle following the death of diana to reach a compromise between what was a private tragedy for the royal family and the public's demand for an overt display of mourning,0.0,0.0,0.9718602299690247,0.0
The Quiet Man,1952,0.0,71,0,0,1,0,1750000.0,3800000.0,129.0,Action... Excitement... Romance... Fill the Screen!,2.171428571428572,29457.36434108527,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,G,"An American man returns to the village of his birth in Ireland, where he finds love and conflict.",0.187,0.102,0.711,0.4404,an american man returns to the village of his birth in ireland where he finds love and conflict,0.029896246269345284,0.02886495180428028,0.9119253158569336,0.029313459992408752
The Ramen Girl,2008,0.0,61,0,1,0,0,3200000.0,179590.0,102.0,Her romance is on pins and noodles.,0.056121875,1760.686274509804,0.5574,0.625,0.0,0.375,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,"An American woman is stranded in Tokyo after breaking up with her boyfriend. Searching for direction in life, she trains to be a ramen chef under a tyrannical Japanese master.",0.0,0.0,1.0,0.0,an american woman is stranded in tokyo after breaking up with her boyfriend searching for direction in life she trains to be a ramen chef under a tyrannical japanese master,0.01766802743077278,0.017059436067938805,0.9480463266372681,0.017226215451955795
The Relic,1997,7.0,64,0,1,0,0,60000000.0,33956608.0,110.0,They did the unthinkable. They brought it back.,0.5659434666666666,308696.43636363634,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,R,A homicide detective teams up with an evolutionary biologist to hunt a giant creature that is killing people in a Chicago museum.,0.0,0.196,0.804,-0.6597,a homicide detective teams up with an evolutionary biologist to hunt a giant creature that is killing people in a chicago museum,0.020191403105854988,0.019749637693166733,0.9392338395118713,0.020825188606977463
The Report,2019,139.0,89,0,0,1,0,8000000.0,275000.0,119.0,Truth matters,0.034375,2310.924369747899,0.34,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",0.04,0.231,0.729,-0.875,the story of daniel jones lead investigator for the us senate’s sweeping study into the cia's detention and interrogation program which was found to be brutal immoral and ineffective with the truth at stake jones battled tirelessly to make public what many in power sought to keep hidden,0.0,0.9732380509376526,0.0,0.0
The Rescuers,1977,0.0,70,0,0,0,1,7500000.0,169015869.0,78.0,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,22.5354492,2166870.1153846155,-0.4389,0.606,0.254,0.139,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,G,Two agents of the mouse-run International Rescue Aid Society search for a little orphan girl kidnapped by sinister treasure hunters.,0.217,0.154,0.63,0.1531,two agents of the mouse-run international rescue aid society search for a little orphan girl kidnapped by sinister treasure hunters,0.015534712933003902,0.01542319729924202,0.9535660147666931,0.015476053580641747
The Rescuers Down Under,1990,30.0,69,0,0,0,1,38000000.0,47431461.0,77.0,Hang on for the most thrilling ride of your life!,1.248196342105263,615993.0,0.5697,0.709,0.0,0.291,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,G,"A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat.",0.236,0.022,0.742,0.9393,a lawless poacher wants to capture a majestic and rare golden eagle so he kidnaps the boy who knows where to find the bird not to worry -- the rescue aid society's top agents heroic mice miss bianca and bernard fly to australia to save the day accompanying the fearless duo are bumbling albatross wilbur and local field operative jake the kangaroo rat,0.0,0.0,0.980719804763794,0.0
The Resurrection of Gavin Stone,2017,0.0,55,1,0,0,0,2000000.0,2308355.0,91.0,If church can change him it will take a miracle.,1.1541775,25366.53846153846,0.5859,0.678,0.0,0.322,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG,"Gavin Stone, a washed-up former child star, is forced to do community service at a local megachurch and pretends to be Christian so he can land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.",0.137,0.08,0.783,0.4754,gavin stone a washed-up former child star is forced to do community service at a local megachurch and pretends to be christian so he can land the part of jesus in their annual passion play only to discover that the most important role of his life is far from hollywood,0.010500345379114151,0.9680128693580627,0.0108512407168746,0.01063548494130373
The Rhythm Section,2020,9.0,64,0,1,0,0,50000000.0,5989583.0,109.0,Witness the birth of an assassin.,0.11979166,54950.30275229358,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,"When she discovers the plane crash that claimed the lives of her family was no accident, Stephanie Patrick enters the dark, complex world of international espionage seeking vengeance. With nothing left to lose, Stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear.",0.082,0.197,0.72,-0.7208,when she discovers the plane crash that claimed the lives of her family was no accident stephanie patrick enters the dark complex world of international espionage seeking vengeance with nothing left to lose stephanie transforms from victim to assassin and discovers that neither revenge nor the truth are what they appear,0.0,0.0,0.0,0.9707894325256348
The Ring,2002,204.0,79,1,0,1,0,48000000.0,249348933.0,115.0,"Before you die, you see",5.1947694375,2168251.591304348,-0.5994,0.506,0.494,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,PG-13,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,0.052,0.126,0.823,-0.7128,rachel keller is a journalist investigating a videotape that may have killed four teenagers there is an urban legend about this tape: the viewer will die seven days after watching it rachel tracks down the video and watches it now she has just seven days to unravel the mystery of the ring so she can save herself and her son,0.0,0.0,0.9726593494415283,0.0
