Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,compound,neutral,negative,positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,title,tmdb_id,overview,status
#Alive,2020,63.0,62,1,0,0,0,6300000.0,13416285.0,98.0,You must survive.,2.1295690476190474,136900.8673469388,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Unknown,#Alive,614696,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",success
(500) Days of Summer,2009,21.0,83,0,1,0,0,7500000.0,60781545.0,95.0,This is not a love story. This is a story about love.,8.104206,639805.7368421053,-0.7741,0.543,0.457,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,(500) Days of Summer,19913,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",success
...And God Created Woman,1956,0.0,60,0,0,1,0,300000.0,33000000.0,92.0,...but the devil invented Brigitte Bardot!,110.0,358695.652173913,-0.69,0.516,0.484,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,...And God Created Woman,8420,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp.",success
10 Items or Less,2006,9.0,63,0,0,1,0,400.0,1.0,81.0,Sometimes in life you have to change lanes.,0.0025,0.0123456790123456,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,10 Items or Less,2357,"An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded, without a car or cell phone, and accepts a ride home with Scarlet, a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.",success
102 Dalmatians,2000,12.0,60,0,0,0,1,85000000.0,183611771.0,100.0,Meet Two Unlikely Heroes With A Bone To Pick.,2.160138482352941,1836117.71,0.5106,0.68,0.0,0.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,102 Dalmatians,10481,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",success
12 Years a Slave,2013,37.0,85,0,1,0,0,20000000.0,187000000.0,134.0,The extraordinary true story of Solomon Northup.,9.35,1395522.3880597015,0.4215,0.682,0.0,0.318,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,R,12 Years a Slave,76203,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",success
127 Hours,2010,26.0,81,0,1,0,0,18000000.0,35700000.0,94.0,Every second counts.,1.9833333333333332,379787.2340425532,0.0,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,R,127 Hours,44115,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,success
13 Assassins,2010,26.0,74,0,1,0,0,6000000.0,17555141.0,141.0,Take up your sword.,2.925856833333333,124504.54609929078,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,13 Assassins,58857,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,success
1492: Conquest of Paradise,1992,4.0,64,0,0,1,0,47000000.0,7191399.0,154.0,"Centuries before the exploration of space, there was another voyage into the unknown.",0.1530084893617021,46697.396103896106,0.2263,0.863,0.0,0.137,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,1492: Conquest of Paradise,1492,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,success
1922,2017,3.0,84,1,0,0,0,5000000.0,2943477.0,102.0,Your darkest secrets never stay buried.,0.5886954,28857.617647058825,-0.4939,0.61,0.39,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,R,1922,452507,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",success
2 States,2014,52.0,70,1,0,0,0,4587786.0,22414611.0,149.0,One love.,4.8857141549322485,150433.63087248322,0.6369,0.192,0.0,0.808,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,2 States,259720,"A man and a woman come from two very different cultural backgrounds, and decide that they won't get married until they convince their parents. As feared, differences between the families pose a hurdle.",success
"20,000 Leagues Under the Sea",1954,0.0,69,0,0,0,1,5000000.0,28200000.0,127.0,The mightiest motion picture of them all!,5.64,222047.24409448815,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,G,"20,000 Leagues Under the Sea",173,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",success
2012,2009,21.0,75,1,1,0,0,200000000.0,791217826.0,158.0,We Were Warned.,3.95608913,5007707.75949367,-0.2732,0.488,0.512,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,2012,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",success
28 Days Later,2002,33.0,83,0,1,0,0,8000000.0,85032676.0,113.0,The days are numbered.,10.6290845,752501.5575221239,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,R,28 Days Later,170,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",success
28 Weeks Later,2007,33.0,78,0,1,0,0,15000000.0,72304846.0,100.0,When days turn to weeks...,4.820323066666667,723048.46,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,R,28 Weeks Later,1562,"Twenty-eight weeks after the spread of a deadly rage virus, the inhabitants of the British Isles have lost their battle against the onslaught, as the virus has killed everyone there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",success
3 Days to Kill,2014,24.0,69,1,0,0,0,28000000.0,53260230.0,113.0,The question is... kill or die?,1.9021510714285716,471329.4690265487,-0.8625,0.317,0.683,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,PG-13,3 Days to Kill,192102,"A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first, he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world's most ruthless terrorist and looking after his teenage daughter for the first time in ten years, while his wife is out of town.",success
3 Generations,2016,15.0,59,1,0,0,0,10000000.0,680351.0,87.0,A Family In Transition,0.0680351,7820.126436781609,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,3 Generations,300667,"A teenager transitions from female to male, and his family must come to terms with that fact.",success
3 Idiots,2009,2.0,86,1,0,0,0,9000000.0,70000000.0,171.0,Aal Izz Well!,7.777777777777778,409356.7251461988,0.3382,0.455,0.0,0.545,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,3 Idiots,20453,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",success
3 Men and a Baby,1987,5.0,66,0,0,0,1,11000000.0,242780960.0,102.0,They changed her diapers. She changed their lives.,22.070996363636365,2380205.4901960786,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,3 Men and a Baby,12154,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.,success
30 Minutes or Less,2011,114.0,69,0,0,1,0,28000000.0,40500000.0,83.0,A lot can happen in 30 minutes.,1.4464285714285714,487951.8072289157,0.0,1.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,30 Minutes or Less,62206,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",success
31,2016,48.0,64,0,1,1,0,1500000.0,850419.0,102.0,Welcome to hell.,0.566946,8337.441176470587,-0.3818,0.116,0.535,0.349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,R,31,284564,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",success
47 Meters Down,2017,3.0,69,0,1,0,0,5500000.0,62198461.0,89.0,No way out. No way up. No chance in hell.,11.30881109090909,698859.1123595505,-0.8481,0.275,0.615,0.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,PG-13,47 Meters Down,403119,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",success
47 Meters Down: Uncaged,2019,3.0,63,0,0,1,0,12000000.0,47582563.0,90.0,Fear runs deep.,3.9652135833333335,528695.1444444444,-0.4939,0.385,0.615,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,PG-13,47 Meters Down: Uncaged,480105,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",success
5 Flights Up,2014,6.0,60,1,0,0,0,6000000.0,1020921.0,92.0,A coming of age story,0.1701535,11096.967391304348,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,5 Flights Up,286521,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,success
50/50,2011,125.0,82,0,1,1,0,8000000.0,39187783.0,100.0,It takes a pair to beat the odds.,4.898472875,391877.83,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,50/50,40807,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",success
7 Khoon Maaf,2011,4.0,53,1,0,0,0,2200000.0,2900000.0,148.0,A Story Of A Woman Who Kills All Seven Husbands,1.318181818181818,19594.594594594597,-0.5423,0.667,0.333,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Unknown,7 Khoon Maaf,56338,"Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.",success
9th Company,2005,0.0,64,0,0,1,0,9500000.0,24000000.0,139.0,They stood together while their country fell apart,2.526315789473684,172661.87050359714,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,R,9th Company,14097,"Russian army recruits complete training and take their posting in late 1980s Afghanistan, where the insurgents are slowly gaining the upper hand.",success
A Bug's Life,1998,30.0,79,0,0,0,1,80000000.0,363258859.0,95.0,An epic of miniature proportions.,4.5407357375,3823777.463157895,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,A Bug's Life,9487,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",success
A Clockwork Orange,1971,0.0,86,1,0,0,0,2200000.0,27033812.0,137.0,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",12.288096363636363,197327.09489051093,-0.3182,0.547,0.234,0.219,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,R,A Clockwork Orange,185,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",success
A Field in England,2013,8.0,64,0,1,0,0,300000.0,600000.0,90.0,Open Up And Let The Devil In,2.0,6666.666666666667,-0.6597,0.577,0.423,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Unknown,A Field in England,179111,"During the Civil War in 17th-Century England, a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist, who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle, which provides their first meal, the group quickly descend into a chaos of arguments, fighting and paranoia, and, as it becomes clear that the treasure might be something other than gold, they slowly become victim to the terrifying energies trapped inside the field.",success
A Ghost Story,2017,45.0,74,1,0,0,0,100000.0,1929659.0,93.0,It's all about time.,19.29659,20749.021505376342,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,R,A Ghost Story,428449,"Recently deceased, a white-sheeted ghost returns to his suburban home to console his bereft wife, only to find that in his spectral state he has become unstuck in time, forced to watch passively as the life he knew and the woman he loves slowly slip away.",success
A Goofy Movie,1995,14.0,71,0,0,0,1,18000000.0,35348597.0,78.0,It's hard to be cool when your Dad is Goofy.,1.9638109444444445,453187.141025641,0.2263,0.684,0.12,0.197,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,G,A Goofy Movie,15789,"An endearing modern-day story about how the lovable Goof bonds with his teenage son Max on a hilarious cross-country road trip. En route to the ol' fishing hole, they find themselves up to their floppy ears in misadventure!",success
A Haunted House 2,2014,8.0,61,1,0,0,0,4000000.0,25343661.0,87.0,It'll scare the #2 out of you.,6.33591525,291306.4482758621,-0.4939,0.652,0.348,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,A Haunted House 2,184345,"After exorcising the demons of his ex, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",success
A Hologram for the King,2016,8.0,67,0,1,0,0,30000000.0,9169507.0,97.0,How far will you go? To find yourself.,0.3056502333333333,94531.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,A Hologram for the King,270010,"Alan Clay, a struggling American businessman, travels to Saudi Arabia to sell a new technology to the King, only to be challenged by endless Middle Eastern bureaucracy, a perpetually absent monarch, and a suspicious growth on his back.",success
A Mighty Heart,2007,,65,0,0,1,0,16000000.0,18928871.0,108.0,One woman dared to keep hope alive.,1.1830544375,175267.32407407407,0.6705,0.476,0.0,0.524,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,R,A Mighty Heart,1988,"Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",success
A Monster Calls,2016,117.0,76,1,0,0,0,43000000.0,47309313.0,108.0,Stories are wild creatures.,1.1002165813953488,438049.1944444445,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PG-13,A Monster Calls,258230,12-year-old Conor encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.,success
A Most Wanted Man,2014,211.0,72,0,1,0,0,15000000.0,31554855.0,121.0,"When national security is the mission, intelligence is the key.",2.103657,260783.9256198347,0.6705,0.593,0.0,0.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,A Most Wanted Man,157849,A Chechen Muslim illegally immigrates to Hamburg and becomes a person of interest for a covert government team tracking the movements of potential terrorists.,success
A Nice Girl Like You,2020,30.0,56,0,1,0,0,6100000.0,769234.0,94.0,Naughty can be nice,0.1261039344262295,8183.340425531915,0.4215,0.517,0.0,0.483,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,A Nice Girl Like You,718840,"Lucy Neal is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.",success
A Perfect Getaway,2009,8.0,70,0,1,0,0,14000000.0,22852638.0,98.0,Welcome to paradise. Enter at your own risk.,1.6323312857142858,233190.18367346935,0.7269,0.35,0.147,0.503,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,R,A Perfect Getaway,12403,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers.",success
A Place in the Sun,1951,0.0,70,0,0,1,0,2300000.0,7000000.0,122.0,Young people asking so much of life... taking so much of love!,3.0434782608695654,57377.04918032787,0.6962,0.698,0.0,0.302,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Unknown,A Place in the Sun,25673,A young social climber wins the heart of a beautiful heiress but his former girlfriend's pregnancy stands in the way of his ambition.,success
A Taxi Driver,2017,8.0,72,0,0,1,0,12820005.0,81927980.0,138.0,"Based on true events, an untold story of a taxi driver.",6.390635573075049,593681.0144927537,0.4215,0.763,0.0,0.237,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Unknown,A Taxi Driver,437068,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.",success
A.I. Artificial Intelligence,2001,42.0,79,0,0,1,0,100000000.0,235926552.0,146.0,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.",2.35926552,1615935.2876712328,0.3818,0.906,0.0,0.094,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,PG-13,A.I. Artificial Intelligence,644,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",success
ATM,2012,2.0,50,1,0,0,0,3000000.0,921752.0,91.0,No warning. No control. No escape.,0.3072506666666666,10129.142857142857,-0.743,0.085,0.769,0.145,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Unknown,ATM,89691,"After leaving their company Christmas Party together, David Hargrove and Emily Brandt’s impromptu first date takes an unexpected turn when their coworker, Corey, asks them to make a late-night stop at an ATM.  What should be a routine transaction turns into a desperate struggle for survival when an unknown man appears outside the vestibule.",success
Abduction,2011,22.0,66,1,0,1,0,35000000.0,82087155.0,106.0,The fight for the truth will be the fight of his life.,2.345347285714286,774407.1226415094,-0.4404,0.545,0.315,0.139,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,PG-13,Abduction,59965,"For many years, Nathan Harper has had the uneasy feeling that life with his family isn't quite what it seems. As he draws closer to uncovering the truth, he is hunted by assassins, forcing him to flee with his neighbor, Karen, the only person he can trust.",success
Abigail,2019,8.0,56,0,0,1,0,7000000.0,1940234.0,110.0,Discover your hidden power.,0.2771762857142857,17638.49090909091,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,PG,Abigail,575094,"A young girl Abigail lives in a city whose borders were closed many years ago because of an epidemic of a mysterious disease. Abby's father was one of the sick - and he was taken when she was six years old. Going against the authorities to find his father, Abby learns that her city is actually full of magic. And she discovers in herself extraordinary magical abilities.",success
Abominable,2019,8.0,73,0,1,0,0,75000000.0,190304772.0,97.0,Find your way home.,2.53739696,1961904.8659793811,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG,Abominable,431580,"A group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain of his namesake.",success
About Time,2013,710.0,83,1,0,0,0,12000000.0,87100449.0,123.0,What if every moment in life came with a second chance?,7.25837075,708133.731707317,0.25,0.818,0.0,0.182,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,PG-13,About Time,122906,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",success
Absence of Malice,1981,9.0,66,0,0,1,0,12000000.0,40716963.0,116.0,In America can a man be guilty until proven innocent?,3.39308025,351008.3017241379,-0.1027,0.574,0.23,0.197,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,Absence of Malice,19429,"Megan Carter is a reporter duped into running an untrue story on Michael Gallagher, a suspected racketeer. He has an alibi for the time his crime was allegedly committed—but it involves an innocent party. When he tells Carter the truth and the newspaper runs it, tragedy follows, forcing Carter to face up to the responsibilities of her job when she is confronted by Gallagher.",success
Accepted,2006,63.0,71,1,0,0,0,23000000.0,38505009.0,93.0,When every college turned them down. . . they made one up.,1.6741308260869563,414032.3548387097,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,Accepted,9788,"A high school slacker who's rejected by every school he applies to opts to create his own institution of higher learning, the South Harmon Institute of Technology, on a rundown piece of property near his hometown.",success
Ace in the Hole,1951,0.0,72,0,0,1,0,1821052.0,1300000.0,111.0,"Rough, tough Chuck Tatum, who battered his way to the top... trampling everything in his path - men, women and morals !",0.7138730799559815,11711.711711711712,-0.2003,0.914,0.086,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Ace in the Hole,25364,An arrogant reporter exploits a story about a man trapped in a cave to revitalize his career.,success
Across the Universe,2007,70.0,76,0,1,1,0,45000000.0,29625761.0,133.0,All you need is love.,0.6583502444444445,222750.08270676693,0.6369,0.488,0.0,0.512,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,PG-13,Across the Universe,4688,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.",success
Action Replayy,2010,0.0,47,1,0,0,0,10000000.0,5000000.0,129.0,Rewind Your Life,0.5,38759.68992248062,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,PG,Action Replayy,49679,A young man tries to revive his parents' wilting marriage by traveling to the 1970s when their romance was budding to help make it bloom: something more complex than he expects.,success
Acts of Vengeance,2017,0.0,61,1,0,0,0,10000000.0,320705.0,87.0,Payback Speaks Louder Than Words,0.0320705,3686.264367816092,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,R,Acts of Vengeance,445954,"A fast-talking lawyer transforms his body and takes a vow of silence, not to be broken until he finds out who killed his wife and daughter and has his revenge.",success
Adaptation.,2002,317.0,79,0,0,1,0,19000000.0,32800000.0,115.0,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",1.7263157894736842,285217.39130434784,0.0,1.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,Adaptation.,2757,"Charlie Kaufman is a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'.",success
Adventures in Babysitting,1987,5.0,70,0,0,0,1,7000000.0,34368475.0,102.0,She thought babysitting was easy money - until she started hanging out with the Andersons.,4.909782142857143,336945.8333333333,0.4404,0.818,0.0,0.182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,Adventures in Babysitting,14367,"When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.",success
After,2019,0.0,71,1,0,0,0,14000000.0,69497587.0,106.0,"After your first, life is never the same.",4.964113357142857,655637.6132075472,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,After,537915,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",success
After We Collided,2020,10.0,68,1,0,0,0,14000000.0,47990414.0,105.0,Can love overcome the past?,3.427886714285714,457051.5619047619,0.6369,0.488,0.0,0.512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,R,After We Collided,613504,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,success
Air Force One,1997,44.0,75,1,0,0,0,85000000.0,315200000.0,124.0,The fate of the nation rests on the courage of one man.,3.708235294117647,2541935.483870968,0.4939,0.775,0.0,0.225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,Air Force One,9772,"When Russian neo-nationalists hijack Air Force One, the world's most secure and extraordinary aircraft, the President is faced with a nearly impossible decision to give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter.",success
Aiyyaa,2012,0.0,40,1,0,0,0,1200000.0,2500000.0,146.0,Go Wakda,2.083333333333333,17123.287671232876,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,G,Aiyyaa,137180,"Meenakshi, a Marathi gal with an ultra-sensitive sense of smell, lives her life in her dreams, dancing and enacting her favourite actresses Sridevi, Madhuri and Juhi. Not believing in arranged marriages, Meenakshi awaits her prince when she comes across Tamil artist Surya, to whom she is strangely attracted to.",success
