Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,compound,neutral,negative,positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,title,tmdb_id,overview,status
The Descent,2006,19.0,78,0,0,1,0,3500000.0,57130027.0,100.0,Scream your last breath.,16.322864857142857,571300.27,-0.4019,0.526,0.474,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,The Descent,9392,"After a personal tragedy, Sarah joins her friends on a caving expedition in the Appalachian Mountains. But when a rockfall traps them deep underground, their adventure turns into a nightmare. As they search for a way out, the group discovers they are not alone—lurking in the darkness are savage, cave-dwelling creatures. With rising tension and dwindling trust, the women must fight to survive against both the predators and each other.",success
The Devil's Double,2011,21.0,71,0,0,1,0,19100000.0,5728213.0,109.0,"The 80's were brilliant, if you were in charge.",0.2999064397905759,52552.4128440367,0.5859,0.678,0.0,0.322,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,R,The Devil's Double,62630,A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,success
The Dictator,2012,25.0,73,0,1,0,0,65000000.0,179379533.0,83.0,Make way for Aladeen.,2.759685123076923,2161199.192771084,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,The Dictator,76493,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,success
The Disaster Artist,2017,,78,1,0,0,0,10000000.0,29820616.0,104.0,Based on the true story of one movie so bad it became infamous.,2.9820616,286736.6923076923,-0.4002,0.601,0.246,0.153,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,The Disaster Artist,371638,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",success
The Double,2011,114.0,64,0,0,1,0,17000000.0,4729855.0,98.0,Keep your enemies close,0.2782267647058823,48263.82653061225,-0.4939,0.484,0.516,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,The Double,73499,"The mysterious murder of a US senator bearing the distinctive trademark of the legendary Soviet assassin 'Cassius', forces retired CIA operative, Paul Shepherson to team with rookie FBI agent, Ben Geary  to solve the crime. Having spent his career chasing Cassius, Shepherdson is convinced his nemesis is long dead, but is pushed to take on the case by his former supervisor, Tom Highland. Geary, who wrote his Master's thesis on Shepherdson's pursuit of the Soviet killer, is certain that Cassius has resurfaced.",success
The Dressmaker,2015,1.0,72,0,0,1,0,11930000.0,25003426.0,118.0,Revenge is back in fashion,2.095844593461861,211893.4406779661,-0.5267,0.541,0.459,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,R,The Dressmaker,298382,"In 1950s Australia, beautiful, talented dressmaker Tilly returns to her tiny hometown to right wrongs from her past. As she tries to reconcile with her mother, she starts to fall in love while transforming the fashion of the town.",success
The Elephant Man,1980,0.0,80,0,0,1,0,5000000.0,26000000.0,124.0,A true story of courage and human dignity.,5.2,209677.4193548387,0.8271,0.315,0.0,0.685,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG,The Elephant Man,1955,"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.",success
The Emperor's New Groove,2000,8.0,78,0,0,0,1,100000000.0,169327687.0,78.0,It's all about... ME!,1.69327687,2170867.782051282,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,G,The Emperor's New Groove,11688,"When self-centered Emperor Kuzco is turned into a llama by his scheming advisor, he is forced to rely on good-hearted peasant Pacha to get back home.",success
The Expendables,2010,18.0,75,0,1,0,0,80000000.0,274470394.0,103.0,Choose your weapon.,3.430879925,2664761.1067961166,-0.296,0.476,0.524,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,The Expendables,27578,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",success
The Expendables 3,2014,8.0,71,0,1,0,0,95000000.0,214657577.0,126.0,New team. New attitude. New mission.,2.259553442105263,1703631.5634920634,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PG-13,The Expendables 3,138103,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",success
The Extra Man,2010,51.0,54,0,0,1,0,7000000.0,453079.0,108.0,"They're not gigolos, they're gentlemen.",0.0647255714285714,4195.175925925926,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,The Extra Man,47088,A man who escorts wealthy widows in New York's Upper East Side takes a young aspiring playwright under his wing.,success
The Face of Love,2013,169.0,57,0,1,0,0,4000000.0,350006.0,92.0,She lost her perfect love... until she found his perfect double.,0.0875015,3804.413043478261,0.7269,0.452,0.13,0.418,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,The Face of Love,214086,A widow falls for a guy who bears a striking resemblance to her late husband.,success
The Family Stone,2005,1.0,68,0,0,1,0,19000000.0,92884429.0,103.0,Feel The Love,4.888654157894737,901790.572815534,0.6369,0.323,0.0,0.677,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,The Family Stone,9043,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",success
The Fanatic,2019,7.0,54,0,0,1,0,18000000.0,3153.0,89.0,All he wanted was an autograph.,0.0001751666666666,35.42696629213483,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,The Fanatic,509853,A rabid film fan stalks his favorite action hero and destroys the star's life.,success
The Farewell,2019,31.0,76,0,0,1,0,250300.0,23076657.0,100.0,Based on an actual lie.,92.19599280862964,230766.57,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PG,The Farewell,565310,A headstrong Chinese-American woman returns to China when her beloved grandmother is given a terminal diagnosis. Billi struggles with her family's decision to keep grandma in the dark about her own illness as they all stage an impromptu wedding to see grandma one last time.,success
The Fear,2013,130.0,41,0,0,1,0,23000000.0,192030411.0,86.0,If you see only one movie this year... you ought to get out more often.,8.349148304347827,2232911.755813953,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,The Fear,4614,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",success
The Figurine,2009,6.0,42,1,0,0,0,300000.0,200000.0,122.0,No one told them about the next seven years...,0.6666666666666666,1639.344262295082,-0.296,0.784,0.216,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,PG-13,The Figurine,381961,"Two buddies and a girl, down on their luck, have their lives changed when one of them discovers a mysterious figurine in an abandoned shrine which, according to legend, bestows seven years of good luck. But no one told them about the next seven years...",success
The Finest Hours,2016,13.0,72,0,0,0,1,80000000.0,52099090.0,117.0,"32 survivors, room for 12.",0.651238625,445291.3675213675,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,PG-13,The Finest Hours,300673,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,success
The Fisher King,1991,17.0,75,0,0,1,0,24000000.0,41895491.0,138.0,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail.",1.7456454583333334,303590.5144927536,0.6369,0.769,0.0,0.231,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,The Fisher King,177,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,success
The Florida Project,2017,18.0,77,1,0,0,0,2000000.0,11303040.0,112.0,Find your kingdom.,5.65152,100920.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,The Florida Project,394117,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",success
The Forbidden Kingdom,2008,,69,0,1,0,0,55000000.0,127906624.0,104.0,The battle for eternity is the fantasy of a lifetime.,2.325574981818182,1229871.3846153845,-0.3818,0.755,0.245,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PG-13,The Forbidden Kingdom,1729,"An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior, the Monkey King. With the lost relic in hand, the teenager unexpectedly finds himself travelling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King.",success
The Founder,2017,55.0,78,1,0,0,0,15000000.0,24121245.0,115.0,He took someone else's idea and America ate it up.,1.608083,209749.95652173916,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,The Founder,310307,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",success
